name,value,year,lastValue,rank
TAI Tzu Ying,100267 ,2019W1,100267 ,1
OKUHARA Nozomi,85907 ,2019W1,85907 ,2
PUSARLA V. Sindhu,84264 ,2019W1,84264 ,3
CHEN Yufei,83529 ,2019W1,83529 ,4
YAMAGUCHI Akane,82813 ,2019W1,82813 ,5
MARIN Carolina,82426 ,2019W1,82426 ,6
HE Bingjiao,74679 ,2019W1,74679 ,7
INTANON Ratchanok,72787 ,2019W1,72787 ,8
NEHWAL Saina,64914 ,2019W1,64914 ,9
ZHANG Beiwen,60190 ,2019W1,60190 ,10
TAI Tzu Ying,100267 ,2019W2,100267 ,1
OKUHARA Nozomi,85907 ,2019W2,85907 ,2
PUSARLA V. Sindhu,84264 ,2019W2,84264 ,3
CHEN Yufei,83529 ,2019W2,83529 ,4
YAMAGUCHI Akane,82813 ,2019W2,82813 ,5
MARIN Carolina,82426 ,2019W2,82426 ,6
HE Bingjiao,74679 ,2019W2,74679 ,7
INTANON Ratchanok,72787 ,2019W2,72787 ,8
NEHWAL Saina,64914 ,2019W2,64914 ,9
ZHANG Beiwen,60190 ,2019W2,60190 ,10
TAI Tzu Ying,100267 ,2019W3,100267 ,1
OKUHARA Nozomi,85907 ,2019W3,85907 ,2
PUSARLA V. Sindhu,84264 ,2019W3,84264 ,3
CHEN Yufei,83529 ,2019W3,83529 ,4
YAMAGUCHI Akane,82813 ,2019W3,82813 ,5
MARIN Carolina,82426 ,2019W3,82426 ,6
HE Bingjiao,74679 ,2019W3,74679 ,7
INTANON Ratchanok,72787 ,2019W3,72787 ,8
NEHWAL Saina,64914 ,2019W3,64914 ,9
ZHANG Beiwen,60190 ,2019W3,60190 ,10
TAI Tzu Ying,99667 ,2019W4,99667 ,1
OKUHARA Nozomi,85907 ,2019W4,85907 ,2
PUSARLA V. Sindhu,84264 ,2019W4,84264 ,3
MARIN Carolina,83806 ,2019W4,83806 ,4
CHEN Yufei,83529 ,2019W4,83529 ,5
YAMAGUCHI Akane,82813 ,2019W4,82813 ,6
HE Bingjiao,74679 ,2019W4,74679 ,7
INTANON Ratchanok,72787 ,2019W4,72787 ,8
NEHWAL Saina,66294 ,2019W4,66294 ,9
ZHANG Beiwen,60190 ,2019W4,60190 ,10
TAI Tzu Ying,97467 ,2019W5,97467 ,1
MARIN Carolina,86566 ,2019W5,86566 ,2
OKUHARA Nozomi,85907 ,2019W5,85907 ,3
PUSARLA V. Sindhu,84264 ,2019W5,84264 ,4
CHEN Yufei,83899 ,2019W5,83899 ,5
YAMAGUCHI Akane,82813 ,2019W5,82813 ,6
HE Bingjiao,74679 ,2019W5,74679 ,7
INTANON Ratchanok,72417 ,2019W5,72417 ,8
NEHWAL Saina,67694 ,2019W5,67694 ,9
ZHANG Beiwen,60190 ,2019W5,60190 ,10
TAI Tzu Ying,97467 ,2019W6,97467 ,1
MARIN Carolina,86566 ,2019W6,86566 ,2
OKUHARA Nozomi,85907 ,2019W6,85907 ,3
CHEN Yufei,83899 ,2019W6,83899 ,4
YAMAGUCHI Akane,82813 ,2019W6,82813 ,5
PUSARLA V. Sindhu,82514 ,2019W6,82514 ,6
HE Bingjiao,74679 ,2019W6,74679 ,7
INTANON Ratchanok,71197 ,2019W6,71197 ,8
NEHWAL Saina,67694 ,2019W6,67694 ,9
SUNG Ji Hyun,58563 ,2019W6,58563 ,10
TAI Tzu Ying,97467 ,2019W7,97467 ,1
MARIN Carolina,86566 ,2019W7,86566 ,2
OKUHARA Nozomi,85153 ,2019W7,85153 ,3
CHEN Yufei,83899 ,2019W7,83899 ,4
YAMAGUCHI Akane,82813 ,2019W7,82813 ,5
PUSARLA V. Sindhu,80000 ,2019W7,80000 ,6
HE Bingjiao,74167 ,2019W7,74167 ,7
INTANON Ratchanok,71197 ,2019W7,71197 ,8
NEHWAL Saina,67694 ,2019W7,67694 ,9
TAKAHASHI Sayaka,58056 ,2019W7,58056 ,10
TAI Tzu Ying,97467 ,2019W8,97467 ,1
OKUHARA Nozomi,85153 ,2019W8,85153 ,2
MARIN Carolina,83990 ,2019W8,83990 ,3
CHEN Yufei,83899 ,2019W8,83899 ,4
YAMAGUCHI Akane,82813 ,2019W8,82813 ,5
PUSARLA V. Sindhu,80000 ,2019W8,80000 ,6
HE Bingjiao,74167 ,2019W8,74167 ,7
INTANON Ratchanok,71197 ,2019W8,71197 ,8
NEHWAL Saina,67694 ,2019W8,67694 ,9
TAKAHASHI Sayaka,58056 ,2019W8,58056 ,10
TAI Tzu Ying,97467 ,2019W9,97467 ,1
OKUHARA Nozomi,85153 ,2019W9,85153 ,2
MARIN Carolina,83990 ,2019W9,83990 ,3
CHEN Yufei,83899 ,2019W9,83899 ,4
YAMAGUCHI Akane,82813 ,2019W9,82813 ,5
PUSARLA V. Sindhu,80000 ,2019W9,80000 ,6
HE Bingjiao,74167 ,2019W9,74167 ,7
INTANON Ratchanok,71197 ,2019W9,71197 ,8
NEHWAL Saina,67694 ,2019W9,67694 ,9
SUNG Ji Hyun,57826 ,2019W9,57826 ,10
TAI Tzu Ying,97467 ,2019W10,97467 ,1
OKUHARA Nozomi,85153 ,2019W10,85153 ,2
MARIN Carolina,83990 ,2019W10,83990 ,3
CHEN Yufei,83899 ,2019W10,83899 ,4
YAMAGUCHI Akane,82813 ,2019W10,82813 ,5
PUSARLA V. Sindhu,80000 ,2019W10,80000 ,6
HE Bingjiao,74167 ,2019W10,74167 ,7
INTANON Ratchanok,71947 ,2019W10,71947 ,8
NEHWAL Saina,67694 ,2019W10,67694 ,9
SUNG Ji Hyun,57826 ,2019W10,57826 ,10
TAI Tzu Ying,95667 ,2019W11,95667 ,1
CHEN Yufei,87499 ,2019W11,87499 ,2
OKUHARA Nozomi,86953 ,2019W11,86953 ,3
YAMAGUCHI Akane,81013 ,2019W11,81013 ,4
MARIN Carolina,80390 ,2019W11,80390 ,5
PUSARLA V. Sindhu,76640 ,2019W11,76640 ,6
HE Bingjiao,75727 ,2019W11,75727 ,7
INTANON Ratchanok,71947 ,2019W11,71947 ,8
NEHWAL Saina,69254 ,2019W11,69254 ,9
SUNG Ji Hyun,60106 ,2019W11,60106 ,10
TAI Tzu Ying,95667 ,2019W12,95667 ,1
CHEN Yufei,88079 ,2019W12,88079 ,2
OKUHARA Nozomi,86953 ,2019W12,86953 ,3
YAMAGUCHI Akane,81013 ,2019W12,81013 ,4
MARIN Carolina,80390 ,2019W12,80390 ,5
PUSARLA V. Sindhu,76640 ,2019W12,76640 ,6
HE Bingjiao,75727 ,2019W12,75727 ,7
INTANON Ratchanok,71947 ,2019W12,71947 ,8
NEHWAL Saina,69254 ,2019W12,69254 ,9
SUNG Ji Hyun,60686 ,2019W12,60686 ,10
TAI Tzu Ying,95667 ,2019W13,95667 ,1
CHEN Yufei,88079 ,2019W13,88079 ,2
OKUHARA Nozomi,86953 ,2019W13,86953 ,3
YAMAGUCHI Akane,81013 ,2019W13,81013 ,4
MARIN Carolina,80390 ,2019W13,80390 ,5
PUSARLA V. Sindhu,76640 ,2019W13,76640 ,6
HE Bingjiao,75727 ,2019W13,75727 ,7
INTANON Ratchanok,71947 ,2019W13,71947 ,8
NEHWAL Saina,69254 ,2019W13,69254 ,9
SUNG Ji Hyun,60686 ,2019W13,60686 ,10
TAI Tzu Ying,95667 ,2019W14,95667 ,1
CHEN Yufei,88079 ,2019W14,88079 ,2
OKUHARA Nozomi,86953 ,2019W14,86953 ,3
YAMAGUCHI Akane,81013 ,2019W14,81013 ,4
MARIN Carolina,80390 ,2019W14,80390 ,5
PUSARLA V. Sindhu,78020 ,2019W14,78020 ,6
HE Bingjiao,77470 ,2019W14,77470 ,7
INTANON Ratchanok,75197 ,2019W14,75197 ,8
NEHWAL Saina,69254 ,2019W14,69254 ,9
SUNG Ji Hyun,60686 ,2019W14,60686 ,10
TAI Tzu Ying,95667 ,2019W15,95667 ,1
CHEN Yufei,88779 ,2019W15,88779 ,2
OKUHARA Nozomi,88200 ,2019W15,88200 ,3
YAMAGUCHI Akane,83943 ,2019W15,83943 ,4
MARIN Carolina,77000 ,2019W15,77000 ,5
PUSARLA V. Sindhu,75360 ,2019W15,75360 ,6
HE Bingjiao,74177 ,2019W15,74177 ,7
INTANON Ratchanok,73547 ,2019W15,73547 ,8
NEHWAL Saina,69254 ,2019W15,69254 ,9
SUNG Ji Hyun,61936 ,2019W15,61936 ,10
TAI Tzu Ying,97867 ,2019W16,97867 ,1
OKUHARA Nozomi,88800 ,2019W16,88800 ,2
CHEN Yufei,88779 ,2019W16,88779 ,3
YAMAGUCHI Akane,83943 ,2019W16,83943 ,4
MARIN Carolina,77000 ,2019W16,77000 ,5
PUSARLA V. Sindhu,76740 ,2019W16,76740 ,6
HE Bingjiao,74177 ,2019W16,74177 ,7
INTANON Ratchanok,73547 ,2019W16,73547 ,8
NEHWAL Saina,69254 ,2019W16,69254 ,9
SUNG Ji Hyun,62076 ,2019W16,62076 ,10
TAI Tzu Ying,97867 ,2019W17,97867 ,1
OKUHARA Nozomi,88800 ,2019W17,88800 ,2
CHEN Yufei,88779 ,2019W17,88779 ,3
YAMAGUCHI Akane,83943 ,2019W17,83943 ,4
MARIN Carolina,77000 ,2019W17,77000 ,5
PUSARLA V. Sindhu,76740 ,2019W17,76740 ,6
HE Bingjiao,74177 ,2019W17,74177 ,7
INTANON Ratchanok,73547 ,2019W17,73547 ,8
NEHWAL Saina,69254 ,2019W17,69254 ,9
SUNG Ji Hyun,62076 ,2019W17,62076 ,10
TAI Tzu Ying,95667 ,2019W18,95667 ,1
OKUHARA Nozomi,88800 ,2019W18,88800 ,2
CHEN Yufei,87979 ,2019W18,87979 ,3
YAMAGUCHI Akane,86723 ,2019W18,86723 ,4
PUSARLA V. Sindhu,76740 ,2019W18,76740 ,5
HE Bingjiao,75920 ,2019W18,75920 ,6
INTANON Ratchanok,73547 ,2019W18,73547 ,7
MARIN Carolina,70000 ,2019W18,70000 ,8
NEHWAL Saina,67874 ,2019W18,67874 ,9
SUNG Ji Hyun,60556 ,2019W18,60556 ,10
